,period,stateid,stateDescription,sectorid,sectorName,price,price-units
0,2014,NY,New York,TRA,transportation,13.82,cents per kilowatthour
1,2014,NC,North Carolina,ALL,all sectors,9.33,cents per kilowatthour
2,2014,NC,North Carolina,COM,commercial,8.75,cents per kilowatthour
3,2014,NC,North Carolina,IND,industrial,6.5,cents per kilowatthour
4,2014,NC,North Carolina,OTH,other,,cents per kilowatthour
5,2014,NC,North Carolina,RES,residential,11.1,cents per kilowatthour
6,2014,NC,North Carolina,TRA,transportation,7.84,cents per kilowatthour
7,2014,ND,North Dakota,ALL,all sectors,8.41,cents per kilowatthour
8,2014,ND,North Dakota,COM,commercial,8.79,cents per kilowatthour
9,2014,ND,North Dakota,IND,industrial,7.62,cents per kilowatthour
10,2014,ND,North Dakota,OTH,other,,cents per kilowatthour
11,2014,ND,North Dakota,RES,residential,9.15,cents per kilowatthour
12,2014,ND,North Dakota,TRA,transportation,0.0,cents per kilowatthour
13,2014,OH,Ohio,ALL,all sectors,9.73,cents per kilowatthour
14,2014,OH,Ohio,COM,commercial,9.83,cents per kilowatthour
15,2014,OH,Ohio,IND,industrial,6.77,cents per kilowatthour
16,2014,OH,Ohio,OTH,other,,cents per kilowatthour
17,2014,OH,Ohio,RES,residential,12.5,cents per kilowatthour
18,2014,OH,Ohio,TRA,transportation,8.78,cents per kilowatthour
19,2014,OK,Oklahoma,ALL,all sectors,8.18,cents per kilowatthour
20,2014,OK,Oklahoma,COM,commercial,8.09,cents per kilowatthour
21,2014,OK,Oklahoma,IND,industrial,5.85,cents per kilowatthour
22,2014,OK,Oklahoma,OTH,other,,cents per kilowatthour
23,2014,OK,Oklahoma,RES,residential,10.03,cents per kilowatthour
24,2014,OK,Oklahoma,TRA,transportation,0.0,cents per kilowatthour
25,2014,OR,Oregon,ALL,all sectors,8.68,cents per kilowatthour
26,2014,OR,Oregon,COM,commercial,8.75,cents per kilowatthour
27,2014,OR,Oregon,IND,industrial,5.97,cents per kilowatthour
28,2014,OR,Oregon,OTH,other,,cents per kilowatthour
29,2014,OR,Oregon,RES,residential,10.47,cents per kilowatthour
30,2014,OR,Oregon,TRA,transportation,9.21,cents per kilowatthour
31,2014,PA,Pennsylvania,ALL,all sectors,10.28,cents per kilowatthour
32,2014,PA,Pennsylvania,COM,commercial,9.73,cents per kilowatthour
33,2014,PA,Pennsylvania,IND,industrial,7.41,cents per kilowatthour
34,2014,PA,Pennsylvania,OTH,other,,cents per kilowatthour
35,2014,PA,Pennsylvania,RES,residential,13.32,cents per kilowatthour
36,2014,PA,Pennsylvania,TRA,transportation,7.65,cents per kilowatthour
37,2014,RI,Rhode Island,ALL,all sectors,15.41,cents per kilowatthour
38,2014,RI,Rhode Island,COM,commercial,14.56,cents per kilowatthour
39,2014,RI,Rhode Island,IND,industrial,12.86,cents per kilowatthour
40,2014,RI,Rhode Island,OTH,other,,cents per kilowatthour
41,2014,RI,Rhode Island,RES,residential,17.17,cents per kilowatthour
42,2014,RI,Rhode Island,TRA,transportation,14.89,cents per kilowatthour
43,2014,SC,South Carolina,ALL,all sectors,9.67,cents per kilowatthour
44,2014,SC,South Carolina,COM,commercial,10.28,cents per kilowatthour
45,2014,SC,South Carolina,IND,industrial,6.29,cents per kilowatthour
46,2014,SC,South Carolina,OTH,other,,cents per kilowatthour
47,2014,SC,South Carolina,RES,residential,12.45,cents per kilowatthour
48,2014,SC,South Carolina,TRA,transportation,0.0,cents per kilowatthour
49,2014,SD,South Dakota,ALL,all sectors,9.05,cents per kilowatthour
50,2014,SD,South Dakota,COM,commercial,8.89,cents per kilowatthour
51,2014,SD,South Dakota,IND,industrial,6.99,cents per kilowatthour
52,2014,SD,South Dakota,OTH,other,,cents per kilowatthour
53,2014,SD,South Dakota,RES,residential,10.47,cents per kilowatthour
54,2018,MO,Missouri,IND,industrial,7.22,cents per kilowatthour
55,2018,MO,Missouri,OTH,other,,cents per kilowatthour
56,2018,MO,Missouri,RES,residential,11.34,cents per kilowatthour
57,2018,MO,Missouri,TRA,transportation,8.52,cents per kilowatthour
58,2018,MT,Montana,ALL,all sectors,8.84,cents per kilowatthour
59,2018,MT,Montana,COM,commercial,10.11,cents per kilowatthour
60,2018,MT,Montana,IND,industrial,5.19,cents per kilowatthour
61,2018,MT,Montana,OTH,other,,cents per kilowatthour
62,2018,MT,Montana,RES,residential,10.96,cents per kilowatthour
63,2018,MT,Montana,TRA,transportation,0.0,cents per kilowatthour
64,2018,NE,Nebraska,ALL,all sectors,9.02,cents per kilowatthour
65,2018,NE,Nebraska,COM,commercial,8.83,cents per kilowatthour
