period,stateid,value,units
2021,IL,10.51,$/MCF
2021,WI,9.74,$/MCF
2021,NC,14.12,$/MCF
2021,MS,12.65,$/MCF
2021,NE,9.59,$/MCF
2021,AR,12.56,$/MCF
2021,PA,12.01,$/MCF
2021,KY,12.22,$/MCF
2021,WA,11.63,$/MCF
2021,NY,13.78,$/MCF
2021,MA,16.02,$/MCF
2021,VA,13.68,$/MCF
2021,ID,7.0,$/MCF
2021,SC,14.29,$/MCF
2021,MD,14.7,$/MCF
2021,OK,10.29,$/MCF
2021,WY,10.04,$/MCF
2021,UT,8.99,$/MCF
2021,DE,13.14,$/MCF
2021,KS,11.11,$/MCF
2021,CO,9.1,$/MCF
2021,AK,10.94,$/MCF
2021,MT,8.86,$/MCF
2021,NJ,10.26,$/MCF
2021,GA,15.91,$/MCF
2021,U.S.,12.18,$/MCF
2021,NH,16.31,$/MCF
2021,WV,10.46,$/MCF
2021,CA,16.34,$/MCF
2021,NM,9.77,$/MCF
2021,IN,10.05,$/MCF
2021,ND,9.11,$/MCF
2021,LA,12.83,$/MCF
2021,HI,46.99,$/MCF
2021,OH,11.08,$/MCF
2021,AZ,15.52,$/MCF
2021,OR,11.76,$/MCF
2021,CT,16.06,$/MCF
2021,ME,16.54,$/MCF
2021,NV,9.72,$/MCF
2021,TX,13.77,$/MCF
2021,MI,9.21,$/MCF
2021,MN,9.4,$/MCF
2021,AL,15.72,$/MCF
2021,MO,10.81,$/MCF
2021,NA,22.9,$/MCF
2021,SD,9.75,$/MCF
2021,RI,16.18,$/MCF
2021,IA,10.2,$/MCF
2021,FL,22.9,$/MCF
2021,VT,14.01,$/MCF
2021,DC,14.29,$/MCF
2021,TN,10.29,$/MCF
2020,MD,13.07,$/MCF
2020,CA,14.14,$/MCF
2020,ME,14.88,$/MCF
2020,NM,7.04,$/MCF
2020,VT,13.21,$/MCF
2020,UT,8.15,$/MCF
2020,DC,11.92,$/MCF
2020,MA,14.71,$/MCF
2020,U.S.,10.78,$/MCF
2020,KS,9.37,$/MCF
2020,IL,7.94,$/MCF
2020,PA,11.48,$/MCF
2020,WA,10.97,$/MCF
2020,NJ,9.92,$/MCF
2020,TX,11.64,$/MCF
2020,AR,12.28,$/MCF
2020,SD,7.11,$/MCF
2020,CO,7.22,$/MCF
2020,RI,15.06,$/MCF
2020,IA,7.78,$/MCF
2020,WV,10.11,$/MCF
2020,ID,6.73,$/MCF
2020,SC,13.49,$/MCF
2020,GA,15.45,$/MCF
2020,AL,16.01,$/MCF
2020,MO,10.39,$/MCF
2020,NE,8.04,$/MCF
2020,MI,8.25,$/MCF
2020,AZ,13.1,$/MCF
2020,WI,7.52,$/MCF
2020,WY,8.84,$/MCF
2020,TN,8.97,$/MCF
2020,ND,6.82,$/MCF
2020,DE,12.95,$/MCF
2020,NA,21.38,$/MCF
2020,AK,11.14,$/MCF
